importance,feature
0.08278994903819356,SeniorCitizen
3.8192563748211814,tenure
0.47862567660807054,MonthlyCharges
2.361902741677363,TotalCharges
0.01746146340722471,gender_Female
0.0031483469063002967,gender_Male
0.04732122816018317,Partner_No
0.03300811165936389,Partner_Yes
0.12377056647784743,Dependents_No
0.10945744997692582,Dependents_Yes
0.11256336571998911,PhoneService_No
0.09825024921921341,PhoneService_Yes
0.16050999338958474,MultipleLines_No
0.11256336571998911,MultipleLines_No phone service
0.0622597441705645,MultipleLines_Yes
0.38542759818391625,InternetService_DSL
0.5160610127212331,InternetService_Fiber optic
0.1163202980367884,InternetService_No
0.2879562405268023,OnlineSecurity_No
0.1163202980367884,OnlineSecurity_No internet service
0.15732282598947478,OnlineSecurity_Yes
0.1459278386044916,OnlineBackup_No
0.1163202980367884,OnlineBackup_No internet service
0.01529442406707379,OnlineBackup_Yes
0.05437633597485522,DeviceProtection_No
0.1163202980367884,DeviceProtection_No internet service
0.07625707856219079,DeviceProtection_Yes
0.23773760150053921,TechSupport_No
0.1163202980367884,TechSupport_No internet service
0.10710418696324327,TechSupport_Yes
0.06704528857813224,StreamingTV_No
0.1163202980367884,StreamingTV_No internet service
0.19767870311570387,StreamingTV_Yes
0.02605505662639337,StreamingMovies_No
0.1163202980367884,StreamingMovies_No internet service
0.15668847116377152,StreamingMovies_Yes
0.6436610244106836,Contract_Month-to-month
0.11297643341595391,Contract_One year
0.5163714744937827,Contract_Two year
0.12822213105985955,PaperlessBilling_No
0.14253524756037927,PaperlessBilling_Yes
0.024380880137972436,PaymentMethod_Bank transfer (automatic)
0.32535024819838315,PaymentMethod_Credit card (automatic)
0.32440966895561957,PaymentMethod_Electronic check
0.039634575881067786,PaymentMethod_Mailed check
